rank,record_id,extension_id,packet_path,priority_score,priority_reasons,blind_review,review_status
13,browserpass_browserpass_extension_3_10_2_to_3_11_0,github:browserpass/browserpass-extension,artifacts/driftbench/phase3h5/review_packets/browserpass_browserpass_extension_3_10_2_to_3_11_0.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
14,browserpass_browserpass_extension_3_11_0_to_3_12_0,github:browserpass/browserpass-extension,artifacts/driftbench/phase3h5/review_packets/browserpass_browserpass_extension_3_11_0_to_3_12_0.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
15,duckduckgo_privacy_2025_11_3_to_2025_12_12,github:duckduckgo/duckduckgo-privacy-extension,artifacts/driftbench/phase3h5/review_packets/duckduckgo_privacy_2025_11_3_to_2025_12_12.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
16,duckduckgo_privacy_2025_12_12_to_2025_12_14,github:duckduckgo/duckduckgo-privacy-extension,artifacts/driftbench/phase3h5/review_packets/duckduckgo_privacy_2025_12_12_to_2025_12_14.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
17,duckduckgo_privacy_2025_12_14_to_2026_1_12,github:duckduckgo/duckduckgo-privacy-extension,artifacts/driftbench/phase3h5/review_packets/duckduckgo_privacy_2025_12_14_to_2026_1_12.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
18,keepassxc_browser_1_10_1_to_1_10_2,github:keepassxreboot/keepassxc-browser,artifacts/driftbench/phase3h5/review_packets/keepassxc_browser_1_10_1_to_1_10_2.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
19,openstyles_stylus_2_4_6_to_2_4_7,github:openstyles/stylus,artifacts/driftbench/phase3h5/review_packets/openstyles_stylus_2_4_6_to_2_4_7.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
20,openstyles_stylus_2_4_7_to_2_4_8,github:openstyles/stylus,artifacts/driftbench/phase3h5/review_packets/openstyles_stylus_2_4_7_to_2_4_8.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
21,openstyles_stylus_2_4_8_to_2_4_9,github:openstyles/stylus,artifacts/driftbench/phase3h5/review_packets/openstyles_stylus_2_4_8_to_2_4_9.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
22,openstyles_stylus_2_4_9_to_2_4_10,github:openstyles/stylus,artifacts/driftbench/phase3h5/review_packets/openstyles_stylus_2_4_9_to_2_4_10.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
23,subtidex_1_5_0_to_1_5_1,github:yniijia/subtidex,artifacts/driftbench/phase3h5/review_packets/subtidex_1_5_0_to_1_5_1.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
24,ublock_origin_1_72_2_to_1_73_0,github:gorhill/ublock,artifacts/driftbench/phase3h5/review_packets/ublock_origin_1_72_2_to_1_73_0.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
25,web_scrobbler_web_scrobbler_3_21_0_to_3_22_0,github:web-scrobbler/web-scrobbler,artifacts/driftbench/phase3h5/review_packets/web_scrobbler_web_scrobbler_3_21_0_to_3_22_0.json,100,"[""new sensitive browser API usage"", ""new external network destinations"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
26,darkreader_darkreader_4_9_125_to_4_9_126,github:darkreader/darkreader,artifacts/driftbench/phase3h5/review_packets/darkreader_darkreader_4_9_125_to_4_9_126.json,85,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
27,darkreader_darkreader_4_9_128_to_4_9_129,github:darkreader/darkreader,artifacts/driftbench/phase3h5/review_packets/darkreader_darkreader_4_9_128_to_4_9_129.json,85,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
28,ublock_origin_1_70_0_to_1_71_0,github:gorhill/ublock,artifacts/driftbench/phase3h5/review_packets/ublock_origin_1_70_0_to_1_71_0.json,85,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
29,ublock_origin_1_71_0_to_1_72_0,github:gorhill/ublock,artifacts/driftbench/phase3h5/review_packets/ublock_origin_1_71_0_to_1_72_0.json,85,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
30,refined_github_26_7_to_26_7_11,github:refined-github/refined-github,artifacts/driftbench/phase3h5/review_packets/refined_github_26_7_to_26_7_11.json,80,"[""new sensitive browser API usage"", ""new external network destinations"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
31,ruffle_rs_ruffle_nightly_2026_08_04_to_nightly_2026_08_05,github:ruffle-rs/ruffle,artifacts/driftbench/phase3h5/review_packets/ruffle_rs_ruffle_nightly_2026_08_04_to_nightly_2026_08_05.json,80,"[""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
32,web_scrobbler_web_scrobbler_3_18_0_to_3_19_0,github:web-scrobbler/web-scrobbler,artifacts/driftbench/phase3h5/review_packets/web_scrobbler_web_scrobbler_3_18_0_to_3_19_0.json,80,"[""new sensitive browser API usage"", ""new external network destinations"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
33,web_scrobbler_web_scrobbler_3_19_0_to_3_20_0,github:web-scrobbler/web-scrobbler,artifacts/driftbench/phase3h5/review_packets/web_scrobbler_web_scrobbler_3_19_0_to_3_20_0.json,80,"[""new sensitive browser API usage"", ""new external network destinations"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
34,web_scrobbler_web_scrobbler_3_20_0_to_3_21_0,github:web-scrobbler/web-scrobbler,artifacts/driftbench/phase3h5/review_packets/web_scrobbler_web_scrobbler_3_20_0_to_3_21_0.json,80,"[""new sensitive browser API usage"", ""new external network destinations"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
35,save_tabbed_images_0_4_0_to_0_4_1,github:kevinsqi/save_tabbed_images,artifacts/driftbench/phase3h5/review_packets/save_tabbed_images_0_4_0_to_0_4_1.json,75,"[""new external network destinations"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
36,save_tabbed_images_0_4_1_to_0_5_0,github:kevinsqi/save_tabbed_images,artifacts/driftbench/phase3h5/review_packets/save_tabbed_images_0_4_1_to_0_5_0.json,75,"[""new external network destinations"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
37,save_tabbed_images_0_6_0_to_0_7_0,github:kevinsqi/save_tabbed_images,artifacts/driftbench/phase3h5/review_packets/save_tabbed_images_0_6_0_to_0_7_0.json,75,"[""new external network destinations"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
38,clearurls_addon_1_20_0_to_1_21_0,github:clearurls/addon,artifacts/driftbench/phase3h5/review_packets/clearurls_addon_1_20_0_to_1_21_0.json,50,"[""external holdout label quality should be strengthened without tuning leakage""]",True,SECOND_REVIEW_PENDING
39,clearurls_addon_1_21_0_to_1_22_0,github:clearurls/addon,artifacts/driftbench/phase3h5/review_packets/clearurls_addon_1_21_0_to_1_22_0.json,50,"[""external holdout label quality should be strengthened without tuning leakage""]",True,SECOND_REVIEW_PENDING
40,clearurls_addon_1_22_0_to_1_23_0,github:clearurls/addon,artifacts/driftbench/phase3h5/review_packets/clearurls_addon_1_22_0_to_1_23_0.json,50,"[""external holdout label quality should be strengthened without tuning leakage""]",True,SECOND_REVIEW_PENDING
41,clearurls_addon_1_23_0_to_1_23_1,github:clearurls/addon,artifacts/driftbench/phase3h5/review_packets/clearurls_addon_1_23_0_to_1_23_1.json,50,"[""external holdout label quality should be strengthened without tuning leakage""]",True,SECOND_REVIEW_PENDING
42,clearurls_addon_1_23_1_to_1_27_3,github:clearurls/addon,artifacts/driftbench/phase3h5/review_packets/clearurls_addon_1_23_1_to_1_27_3.json,50,"[""external holdout label quality should be strengthened without tuning leakage""]",True,SECOND_REVIEW_PENDING
43,firefoxbar_headereditor_5_2_10_to_5_2_11,github:firefoxbar/headereditor,artifacts/driftbench/phase3h5/review_packets/firefoxbar_headereditor_5_2_10_to_5_2_11.json,50,"[""external holdout label quality should be strengthened without tuning leakage""]",True,SECOND_REVIEW_PENDING
44,firefoxbar_headereditor_5_2_11_to_5_2_12,github:firefoxbar/headereditor,artifacts/driftbench/phase3h5/review_packets/firefoxbar_headereditor_5_2_11_to_5_2_12.json,50,"[""external holdout label quality should be strengthened without tuning leakage""]",True,SECOND_REVIEW_PENDING
45,firefoxbar_headereditor_5_2_7_to_5_2_8,github:firefoxbar/headereditor,artifacts/driftbench/phase3h5/review_packets/firefoxbar_headereditor_5_2_7_to_5_2_8.json,50,"[""external holdout label quality should be strengthened without tuning leakage""]",True,SECOND_REVIEW_PENDING
46,firefoxbar_headereditor_5_2_8_to_5_2_9,github:firefoxbar/headereditor,artifacts/driftbench/phase3h5/review_packets/firefoxbar_headereditor_5_2_8_to_5_2_9.json,50,"[""external holdout label quality should be strengthened without tuning leakage""]",True,SECOND_REVIEW_PENDING
47,firefoxbar_headereditor_5_2_9_to_5_2_10,github:firefoxbar/headereditor,artifacts/driftbench/phase3h5/review_packets/firefoxbar_headereditor_5_2_9_to_5_2_10.json,50,"[""external holdout label quality should be strengthened without tuning leakage""]",True,SECOND_REVIEW_PENDING
